Journal,Female,Male,Unknown,Total
AJ of Physiology Heart and Circulatory Physiology,1162,2531,322,4015
Circulation,735,1795,125,2655
Plos One,747,1100,111,1958
Circulation Research,570,1254,109,1933
Journal of Biological Chemistry,580,1020,112,1712
"Arteriosclerosis, Thrombosis, and Vascular Biology",503,833,115,1451
Hypertension,438,809,50,1297
Journal of the American Heart Association,476,668,41,1185
Journal of Molecular and Cellular Cardiology,345,672,95,1112
Journal of the American College of Cardiology,289,776,27,1092
